house,casa
dog,perro
cat,gato
marker,marcador
place,lugar
mountain,montaña
homework,tarea
woman,mujer
town,pueblo
yes,si
ugly,feo
pretty,bonito
animals,animales
computer,computadora
giraffe,jirafa
water,agua
fire,fuego
tree,árbol
strength,fuerza
fried,frito
cold,frío
warm,caliente
summer,verano
winter,invierno
autumn,otoño
out,fuera
in,dentro
volcano,volcán
angry,enojado
happy,feliz
annoyed,molesto
dramatic,dramático
friend,amigo
wet,mojado
dove,paloma
dress,vestido
dry,seco
clothes,ropa
skirt,falda
shirt,camisa
anaesthetic,anestésico
park,parque
fun,divertido
dream,sueño
drawing,dibujo
project,proyecto
sausage,salchicha
chicken,pollo
cabbage,repollo
ice cream,helado
cake,pastel
ocean,océano
lake,lago
sadness,tristeza
full,lleno
theater,teatro
beach,playa
asleep,dormido
sleep,sueño
tired,cansado
now,ahora
alone,solo
next,siguiente
easy,fácil
hard,difícil
soap,jabón
soup,sopa
under,debajo
lost,perdido
kid,niño
parent,padre
son,hijo
daughter,hija
family,familia
sister,hermana
brother,hermano
party,fiesta
aunt,tía
uncle,tío
where,donde
while,mientras
weapon,arma
then,entonces
leg,pierna
thin,delgado
therapy,terapia
sob,llanto
work,trabajo
hello,hola
have,tengo
a,un
my,mi
